,full_address,neighborhood,nid,sale_price,prediction,difference
391,"1434 46th Ave, San Francisco, CA 94122-2903",2 - Outer Sunset,2030,1520000,1947129,-427129
395,"2266 47th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1200000,1003793,196206
401,"1466 46th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1610000,1611418,-1418
406,"2311 47th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1220000,1374157,-154157
469,"2583 47th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1450000,1334695,115304
488,"2683 47th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1200000,1229144,-29144
490,"1889 46th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1500000,1445217,54782
510,"2066 46th, San Francisco, CA 94116-1007",2 - Outer Parkside,2020,1030000,667213,362786
513,"2087 46th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1710000,1760767,-50767
523,"4327 Cabrillo St, San Francisco, CA 94121",1 - Outer Richmond,1050,1430000,1190065,239934
536,"1306 45th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1390500,1627135,-236635
549,"2190 46th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,2300000,2737106,-437106
553,"663 44th Ave, San Francisco, CA 94121-2506",1 - Outer Richmond,1050,1510000,1417648,92351
566,"710 44th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1550000,1455424,94575
582,"2310 46th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1578000,1447009,130990
583,"764 44th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1725000,1653026,71973
586,"4515 Ulloa St, San Francisco, CA 94116",2 - Outer Parkside,2020,1180000,1131623,48376
615,"3530 Wawona St, San Francisco, CA 94116",2 - Outer Parkside,2020,1150000,870208,279791
650,"1815 45th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1300000,1125581,174418
660,"1894 45th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1300000,1276773,23226
686,"1238 44th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1315000,1221465,93534
690,"522 43rd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1460000,1360943,99056
693,"4229 Cabrillo St, San Francisco, CA 94121",1 - Outer Richmond,1050,1000000,571374,428625
695,"1278 44th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,2500000,2758563,-258563
707,"1326 44th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1430000,1361446,68553
715,"2194 45th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,950000,602654,347345
717,"638 43rd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1400000,1183641,216358
719,"2200 45th Ave, San Francisco, CA 94116-2716",2 - Outer Parkside,2020,770000,399091,370908
720,"2200 45th Ave, San Francisco, CA 94116-1503",2 - Outer Parkside,2020,1000000,978889,21110
724,"674 43rd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1750000,1607638,142361
729,"1423 44th Ave, San Francisco, CA 94122-2928",2 - Outer Sunset,2030,1090000,894753,195246
746,"2301 45th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1170140,1203601,-33461
779,"842 43rd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1950000,1880811,69188
780,"2415 45th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1055000,1273314,-218314
786,"876 43rd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1760000,1750977,9022
787,"2442 45th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1350000,1173750,176249
797,"3725 Ortega St, San Francisco, CA 94122",2 - Outer Sunset,2030,1150000,1044347,105652
804,"1701 44th Ave, San Francisco, CA 94122-4013",2 - Outer Sunset,2030,1100000,1131222,-31222
812,"2583 45th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1330000,1313218,16781
827,"1841 44th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1200000,1164357,35642
835,"4220 Irving St, San Francisco, CA 94122",2 - Outer Sunset,2030,1442000,1219634,222365
840,"1967 44th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1500000,1700429,-200429
847,"1987 44th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1315000,1174101,140898
895,"635 42nd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1550000,1387310,162689
912,"1425 43rd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1550000,1572724,-22724
932,"786 42nd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1285000,1068907,216092
952,"851 42nd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,2100000,2156759,-56759
953,"2419 44th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,800000,278761,521238
979,"1731 43rd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1390000,1324726,65273
990,"1750 43rd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1260000,1254862,5137
1004,"1814 43rd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1600000,1704758,-104758
1005,"2651 44th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1105000,855795,249204
1011,"1846 43rd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1159900,931862,228037
1033,"1979 43rd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1400000,1192418,207581
1060,"3217 Santiago St, San Francisco, CA 94116",2 - Outer Parkside,2020,1350000,1233722,116277
1070,"2194 43rd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1625711,1700505,-74794
1091,"1450 42nd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1410000,1217413,192586
1109,"811 41st Ave, San Francisco, CA 94121-3320",1 - Outer Richmond,1050,1500000,1400482,99517
1133,"1662 42nd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1251662,1241908,9753
1134,"3509 Noriega St, San Francisco, CA 94122",2 - Outer Sunset,2030,1150000,1105786,44213
1135,"3927 Clement St, San Francisco, CA 94121",1 - Outer Richmond,1050,1600000,1537469,62530
1142,"1710 42nd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1200000,1279609,-79609
1143,"2559 43rd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1350000,1471038,-121038
1145,"1739 42nd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1390000,1302026,87973
1147,"1747 42nd Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1353000,1630453,-277453
1149,"7633 Geary Blvd, San Francisco, CA 94121",1 - Outer Richmond,1050,1600000,1864798,-264798
1157,"1822 42nd, San Francisco, CA 94122",2 - Outer Sunset,2030,1400000,1228278,171721
1186,"1946 42nd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1400000,1474561,-74561
1196,"3218 Rivera St, San Francisco, CA 94116",2 - Outer Parkside,2020,1470000,1633748,-163748
1197,"2023 42nd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1376000,1382490,-6490
1205,"1242 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1250000,1244982,5017
1228,"1350 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1902000,1777431,124568
1231,"1371 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1300000,1141401,158598
1234,"1391 41st Ave, San Francisco, CA 94122-1206",2 - Outer Sunset,2030,1225000,1123631,101368
1237,"1390 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1235000,1253885,-18885
1250,"4127 Ulloa St, San Francisco, CA 94116",2 - Outer Parkside,2020,1769800,1706136,63663
1259,"1463 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1225000,911050,313949
1260,"1459 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1300000,1222711,77288
1271,"1500 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1300000,1083240,216759
1274,"1519 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1420000,1426800,-6800
1275,"778 40th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1330000,1273193,56806
1283,"2395 42nd Ave, San Francisco, CA 94116-2104",2 - Outer Parkside,2020,1180000,1139727,40272
1293,"2419 42nd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1075000,855983,219016
1321,"2501 42nd Ave, San Francisco, CA 94116-2713",2 - Outer Parkside,2020,1155000,1219530,-64530
1323,"1678 41st Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1050000,940620,109379
1327,"2527 42nd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1646000,1675943,-29943
1342,"4839 Anza St, San Francisco, CA 94121",1 - Outer Richmond,1050,1005000,1487937,-482937
1358,"2734 42nd Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1500000,1781261,-281261
1360,"1947 41st Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1360000,1386214,-26214
1376,"2119 41st Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1325000,1393038,-68038
1389,"611 39th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1800000,1714074,85925
1391,"2179 41st Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1910000,2272914,-362914
1408,"1423 40th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,950000,624428,325571
1432,"3749 Clement St, San Francisco, CA 94121",1 - Outer Richmond,1050,2500000,3988402,-1488402
1461,"1679 40th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1085000,1060393,24606
1472,"1747 40th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1330000,1381542,-51542
1495,"3024 Rivera St, San Francisco, CA 94116",2 - Outer Parkside,2020,1365000,1460221,-95221
1497,"447 38th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1850000,1813288,36711
1540,"2238 40th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1030000,1059595,-29595
1542,"2271 40th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1000000,815264,184735
1543,"2258 40th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1625000,1602502,22497
1545,"2270 40th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1705000,1510972,194027
1546,"1450 39th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1628000,1756279,-128279
1553,"1495 39th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1400000,1664640,-264640
1558,"3321 Moraga St, San Francisco, CA 94122",2 - Outer Sunset,2030,1160000,1394881,-234881
1579,"1622 39th Ave, San Francisco, CA 94122-3018",2 - Outer Sunset,2030,1218750,1067359,151390
1597,"65 Shore View Ave, San Francisco, CA 94121-1631",1 - Outer Richmond,1050,3206500,4241327,-1034827
1599,"1771 39th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1500000,1428859,71140
1610,"2662 40th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1550000,1434412,115587
1611,"1838 39th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1435000,1341909,93090
1626,"2930 Rivera St, San Francisco, CA 94116",2 - Outer Parkside,2020,1450000,1369282,80717
1645,"1242 38th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1400000,1134588,265411
1647,"3427 Kirkham St, San Francisco, CA 94122",2 - Outer Sunset,2030,1320611,1105370,215240
1666,"3835 Ulloa St, San Francisco, CA 94116",2 - Outer Parkside,2020,1300000,1296684,3315
1676,"2251 39th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1250000,1124806,125193
1691,"2274 39th Ave, San Francisco, CA 94116-1652",2 - Outer Parkside,2020,1452274,1417685,34588
1733,"190 Country Club Dr, San Francisco, CA 94132",3 - Lake Shore,3010,1839000,1773155,65844
1740,"2523 39th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1380000,1307416,72583
1743,"2527 39th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1238000,1132065,105934
1747,"1715 38th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1560000,1518360,41639
1751,"2571 39th Ave, San Francisco, CA 94116-2752",2 - Outer Parkside,2020,1350000,1206764,143235
1769,"3100 Ortega St, San Francisco, CA 94122-4052",2 - Outer Sunset,2030,1300000,1152760,147239
1770,"1839 38th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1300000,1261594,38405
1783,"2727 39th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1150000,1199435,-49435
1798,"123 Country Club Dr, San Francisco, CA 94132",3 - Lake Shore,3010,1430000,1268539,161460
1800,"3541 Cabrillo St, San Francisco, CA 94121",1 - Outer Richmond,1050,1825000,1867206,-42206
1814,"1293 37th Ave, San Francisco, CA 94122-1332",2 - Outer Sunset,2030,2200000,2341476,-141476
1821,"638 36th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1780000,1786124,-6124
1829,"1419 37th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1750000,2120602,-370602
1832,"2234 38th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1530000,1650188,-120188
1835,"3300 Kirkham St, San Francisco, CA 94122",2 - Outer Sunset,2030,1978000,2544964,-566964
1845,"96 Huntington Dr, San Francisco, CA 94132-1114",3 - Lake Shore,3010,1550000,1416889,133110
1847,"1487 37th Ave, San Francisco, CA 94122-3125",2 - Outer Sunset,2030,1370000,1326642,43357
1909,"474 35th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1485000,1234219,250780
1919,"547 35th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,2025000,2037981,-12981
1923,"348 Country Club Dr, San Francisco, CA 94132",3 - Lake Shore,3010,1570000,1451053,118946
1925,"575 35th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,2250000,2311649,-61649
1930,"578 35th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1450000,1269766,180233
1935,"2721 Taraval St, San Francisco, CA 94116",2 - Outer Parkside,2020,1200000,1098565,101434
1942,"1430 36th Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1775000,2026507,-251507
1946,"2287 37th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1200000,1116696,83303
1950,"1454 36th Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1350000,1236282,113717
1989,"890 35th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,2150000,2186488,-36488
2006,"1758 36th Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1900000,1928972,-28972
2009,"1912 Sloat Blvd, San Francisco, CA 94116-2823",2 - Outer Parkside,2020,1600000,1471509,128490
2011,"2655 37th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1500000,1324159,175840
2018,"1874 36th Ave, San Francisco, CA 94122-4142",2 - Central Sunset,2050,1180000,892500,287499
2029,"4701 Ocean Ave, San Francisco, CA 94132",3 - Lake Shore,3010,1685000,1776325,-91325
2035,"2066 36th Ave, San Francisco, CA 94116",2 - Parkside,2040,1627500,1462381,165118
2040,"2082 36th Ave, San Francisco, CA 94116",2 - Parkside,2040,1430000,1426115,3884
2041,"1271 35th Ave, San Francisco, CA 94122-1310",2 - Central Sunset,2050,1450000,1216910,233089
2068,"1379 35th Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1625000,1555924,69075
2075,"2222 36th Ave, San Francisco, CA 94116",2 - Parkside,2040,1500000,1470661,29338
2097,"778 34th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,3250000,3346252,-96252
2101,"1539 35th Ave, San Francisco, CA 94122-3118",2 - Central Sunset,2050,1620000,1634454,-14454
2122,"2815 Noriega St, San Francisco, CA 94122-4132",2 - Central Sunset,2050,1280000,1132531,147468
2139,"1738 35th Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1165000,949527,215472
2147,"1843 35th Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1300000,1228031,71968
2158,"1919 35th Ave, San Francisco, CA 94116-1111",2 - Parkside,2040,899000,804814,94185
2163,"1926 35th Ave, San Francisco, CA 94116",2 - Parkside,2040,1250000,1125665,124334
2169,"3245 Cabrillo St, San Francisco, CA 94121",1 - Outer Richmond,1050,2310000,2558559,-248559
2186,"1262 34th Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1500000,1366370,133629
2187,"538 33rd Ave, San Francisco, CA 94121--271",1 - Outer Richmond,1050,1525000,1330238,194761
2191,"1286 34th Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1653000,1639716,13283
2200,"2130 35th Ave, San Francisco, CA 94116",2 - Parkside,2040,1800000,1878711,-78711
2201,"590 33rd Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1300000,1327311,-27311
2208,"2162 35th Ave, San Francisco, CA 94116",2 - Parkside,2040,1260000,1067963,192036
2213,"1375 34th Ave, San Francisco, CA 94122-1308",2 - Central Sunset,2050,1480000,1502932,-22932
2233,"1478 34th Ave, San Francisco, CA 94116",2 - Central Sunset,2050,1650000,1733338,-83338
2235,"1474 34th Ave, San Francisco, CA 94122",2 - Central Sunset,2050,2100000,2156204,-56204
2243,"2733 Noriega St, San Francisco, CA 94122",2 - Central Sunset,2050,1700000,1631777,68222
2244,"1506 34th Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1700000,1699097,902
2267,"1606 34th Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1200000,963998,236001
2268,"2730 Ortega St, San Francisco, CA 94122-4139",2 - Central Sunset,2050,1168000,1032803,135196
2288,"182 32nd Ave, San Francisco, CA 94121",1 - Sea Cliff,1060,6750000,7061435,-311435
2298,"2563 35th Ave, San Francisco, CA 94116",2 - Parkside,2040,1400000,1186969,213030
2299,"2563 35th Ave, San Francisco, CA 94116",2 - Parkside,2040,1675000,1490716,184283
2301,"2554 35th Ave, San Francisco, CA 94116-2810",2 - Parkside,2040,1580000,1462984,117015
2305,"1742 34th Ave, San Francisco, CA 94122-4108",2 - Central Sunset,2050,1360000,1266098,93901
2313,"224 32nd Ave, San Francisco, CA 94121",1 - Sea Cliff,1060,3750000,3803620,-53620
2316,"247 32nd Ave, San Francisco, CA 94121",1 - Sea Cliff,1060,2800000,2840856,-40856
2344,"1887 34th Ave, San Francisco, CA 94122-4109",2 - Central Sunset,2050,1380000,1451713,-71713
2362,"1967 34th Ave, San Francisco, CA 94116",2 - Parkside,2040,1330000,2134240,-804240
2365,"3132 Balboa St, San Francisco, CA 94121",1 - Outer Richmond,1050,1400000,1237454,162545
2369,"1974 34th Ave, San Francisco, CA 94116",2 - Parkside,2040,1075000,1650629,-575629
2376,"466 32nd Ave, San Francisco, CA 94121",1 - Central Richmond,1010,1300000,1371134,-71134
2382,"1222 33rd Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1625000,1497777,127222
2396,"1290 33rd Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1351000,1227154,123845
2431,"2227 34th Ave, San Francisco, CA 94116",2 - Parkside,2040,1320000,1200052,119947
2443,"709 32nd Ave, San Francisco, CA 94121",1 - Central Richmond,1010,1325000,1329555,-4555
2458,"763 32nd Ave, San Francisco, CA 94121",1 - Central Richmond,1010,2075000,2309491,-234491
2473,"806 32nd Ave, San Francisco, CA 94121-3504",1 - Central Richmond,1010,1770000,1795530,-25530
2482,"1583 33rd Ave, San Francisco, CA 94122-3144",2 - Central Sunset,2050,1800000,1750775,49224
2488,"1606 33rd Ave, San Francisco, CA 94122-3147",2 - Central Sunset,2050,1305000,1268160,36839
2500,"2523 34th Ave, San Francisco, CA 94116",2 - Parkside,2040,1600000,1515958,84041
2510,"15 Clearfield Dr, San Francisco, CA 94132",3 - Lake Shore,3010,1455000,1351999,103000
2532,"1838 33rd Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1050000,835168,214831
2567,"1963 33rd Ave, San Francisco, CA 94116",2 - Parkside,2040,1850000,1801087,48912
2584,"1219 32nd Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1380000,1167029,212970
2585,"1219 32nd Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1600000,1295802,304197
2591,"2079 33rd Ave, San Francisco, CA 94116",2 - Parkside,2040,1400000,1235182,164817
2616,"2190 33rd Ave, San Francisco, CA 94116",2 - Parkside,2040,1298000,1142033,155966
2620,"1375 32nd Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1430000,1386995,43004
2637,"1446 32nd Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1707000,1732635,-25635
2639,"1471 32nd Ave, San Francisco, CA 94122-3136",2 - Central Sunset,2050,1425000,1408123,16876
2646,"2294 33rd Ave, San Francisco, CA 94116",2 - Parkside,2040,1355000,1245094,109905
2652,"762 31st Ave, San Francisco, CA 94121",1 - Central Richmond,1010,2550000,2629567,-79567
2669,"1614 32nd Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1350000,1284854,65145
2687,"2510 33rd Ave, San Francisco, CA 94116",2 - Parkside,2040,1155500,965904,189595
2699,"1762 32nd Ave, San Francisco, CA 94122-4102",2 - Central Sunset,2050,1610000,1442369,167630
2701,"2624 33rd Ave, San Francisco, CA 94116-2956",2 - Parkside,2040,1700000,1587182,112817
2728,"2023 32nd Ave, San Francisco, CA 94116",2 - Parkside,2040,1040000,1305642,-265642
2731,"2027 32nd Ave, San Francisco, CA 94116-1124",2 - Parkside,2040,1112027,1551794,-439767
2777,"45 Escondido Ave, San Francisco, CA 94132",3 - Pine Lake Park,3030,1495000,1367291,127708
2778,"706 30th Ave, San Francisco, CA 94121",1 - Central Richmond,1010,1265000,1228536,36463
2783,"726 30th Ave, San Francisco, CA 94121",1 - Central Richmond,1010,1925000,1945437,-20437
2785,"1495 31st Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1955000,2197028,-242028
2790,"190 Escolta Way, San Francisco, CA 94116",2 - Parkside,2040,1660000,1698035,-38035
2837,"1687 31st Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1401000,1392827,8172
2855,"1767 31st Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1295000,1111421,183578
2859,"263 29th Ave, San Francisco, CA 94121",1 - Sea Cliff,1060,3600000,3896854,-296854
2863,"274 29th Ave, San Francisco, CA 94121",1 - Sea Cliff,1060,2800000,2845345,-45345
2870,"325 29th Ave, San Francisco, CA 94121",1 - Central Richmond,1010,1300000,1244176,55823
2874,"440 Crestlake Dr, San Francisco, CA 94132",3 - Pine Lake Park,3030,2000000,1865289,134710
2883,"1711 Eucalyptus Dr, San Francisco, CA 94132",3 - Lake Shore,3010,1710000,1727371,-17371
2885,"2131 Rivera St, San Francisco, CA 94116",2 - Parkside,2040,1215000,1143878,71121
2915,"530 29th Ave, San Francisco, CA 94121",1 - Central Richmond,1010,1750000,1585607,164392
2919,"1290 30th Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1385000,1107049,277950
2922,"2115 31st Ave, San Francisco, CA 94116",2 - Parkside,2040,1300000,1145222,154777
2951,"2150 31st Ave, San Francisco, CA 94116",2 - Parkside,2040,1350000,1190882,159117
2972,"715 29th Ave, San Francisco, CA 94121",1 - Central Richmond,1010,2300000,2256045,43954
2978,"2294 31st Ave, San Francisco, CA 94116",2 - Parkside,2040,1350000,1303357,46642
2980,"743 29th Ave, San Francisco, CA 94121",1 - Central Richmond,1010,2200000,2327558,-127558
2982,"117 Escolta Way, San Francisco, CA 94116",2 - Parkside,2040,1500000,1680003,-180003
3001,"819 29th Ave, San Francisco, CA 94121",1 - Central Richmond,1010,2105000,2116216,-11216
3009,"866 29th Ave, San Francisco, CA 94121",1 - Central Richmond,1010,1406668,1137583,269084
3013,"894 29th Ave, San Francisco, CA 94121",1 - Central Richmond,1010,1450000,1551987,-101987
3016,"2450 31st Ave, San Francisco, CA 94116",2 - Parkside,2040,1050000,812047,237952
3022,"118 28th Ave, San Francisco, CA 94121-1036",1 - Sea Cliff,1060,3875000,3929124,-54124
3042,"2574 31st Ave, San Francisco, CA 94116",2 - Parkside,2040,1680000,1593994,86005
3045,"165 28th Ave, San Francisco, CA 94121",1 - Sea Cliff,1060,4500000,4318533,181466
3051,"2617 31st Ave, San Francisco, CA 94116",2 - Parkside,2040,1750000,1699887,50112
3060,"1822 30th Ave, San Francisco, CA 94122-4222",2 - Central Sunset,2050,988000,653892,334107
3066,"1620 Eucalyptus Dr, San Francisco, CA 94132",3 - Lake Shore,3010,1750000,1600260,149739
3069,"2037 Rivera St, San Francisco, CA 94116",2 - Parkside,2040,1080000,1012932,67067
